position,gap_to_leader,tire_age,tire_compound,pit_stops,laps_remaining,safety_car,vsc,radio_sentiment,radio_pit_keyword,position_change_3lap,gap_delta_3lap,won,year,driver_number,lap_number
7,9.830999999999904,4,1,0,51.0,0,0,0.0,0,0,0.0,0,2018,10,2.0
7,11.799999999999956,5,1,0,50.0,0,0,0.0,0,0,0.0,0,2018,10,3.0
7,13.5,6,1,0,49.0,1,0,0.0,0,0,0.0,0,2018,10,4.0
7,8.413999999999987,7,1,0,48.0,0,0,0.0,0,0,-1.4169999999999163,0,2018,10,5.0
7,8.480000000000018,8,1,0,47.0,0,0,0.0,0,0,-3.3199999999999363,0,2018,10,6.0
7,3.133000000000038,9,1,0,46.0,0,0,0.0,0,0,-10.366999999999962,0,2018,10,7.0
6,6.959000000000287,10,1,0,45.0,0,0,0.0,0,1,-1.4549999999997,0,2018,10,8.0
6,9.456000000000133,11,1,0,44.0,0,0,0.0,0,1,0.9760000000001128,0,2018,10,9.0
6,11.940000000000056,12,1,0,43.0,0,0,0.0,0,1,8.807000000000016,0,2018,10,10.0
6,14.286000000000058,13,1,0,42.0,0,0,0.0,0,0,7.326999999999771,0,2018,10,11.0
6,15.735000000000127,14,1,0,41.0,0,0,0.0,0,0,6.278999999999996,0,2018,10,12.0
7,18.195000000000164,15,1,0,40.0,0,0,0.0,0,-1,6.255000000000109,0,2018,10,13.0
7,20.342999999999847,16,1,0,39.0,0,0,0.0,0,-1,6.056999999999789,0,2018,10,14.0
7,22.3449999999998,17,1,0,38.0,0,0,0.0,0,-1,6.609999999999673,0,2018,10,15.0
7,24.786999999999807,18,1,0,37.0,0,0,0.0,0,0,6.591999999999644,0,2018,10,16.0
7,27.06999999999971,19,1,0,36.0,0,0,0.0,0,0,6.726999999999862,0,2018,10,17.0
6,29.17700000000013,20,1,0,35.0,0,0,0.0,0,1,6.832000000000335,0,2018,10,18.0
6,31.34500000000025,21,1,0,34.0,0,0,0.0,0,1,6.558000000000448,0,2018,10,19.0
6,34.19700000000012,22,1,0,33.0,0,0,0.0,0,1,7.127000000000408,0,2018,10,20.0
6,37.63899999999967,23,1,0,32.0,0,0,0.0,0,0,8.461999999999534,0,2018,10,21.0
7,42.06299999999965,24,1,0,31.0,0,0,0.0,0,-1,10.717999999999392,0,2018,10,22.0
7,45.10899999999992,25,1,0,30.0,0,0,0.0,0,-1,10.911999999999807,0,2018,10,23.0
7,46.09900000000016,26,1,0,29.0,0,0,0.0,0,-1,8.460000000000491,0,2018,10,24.0
7,31.059999999999945,27,1,0,28.0,0,0,0.0,0,0,-11.002999999999702,0,2018,10,25.0
7,34.95000000000027,28,1,0,27.0,0,0,0.0,0,0,-10.15899999999965,0,2018,10,26.0
7,38.59199999999964,29,1,0,26.0,0,0,0.0,0,0,-7.507000000000517,0,2018,10,27.0
7,42.34400000000005,30,1,0,25.0,0,0,0.0,0,0,11.284000000000106,0,2018,10,28.0
8,47.89400000000023,31,1,0,24.0,0,0,0.0,0,-1,12.94399999999996,0,2018,10,29.0
13,68.65800000000036,1,0,1,23.0,0,0,0.0,0,-6,30.066000000000717,0,2018,10,30.0
13,70.6859999999997,2,0,1,22.0,0,0,0.0,0,-6,28.341999999999643,0,2018,10,31.0
13,72.9350000000004,3,0,1,21.0,0,0,0.0,0,-5,25.041000000000167,0,2018,10,32.0
11,72.66300000000047,4,0,1,20.0,0,0,0.0,0,2,4.005000000000109,0,2018,10,33.0
10,74.88900000000012,5,0,1,19.0,0,0,0.0,0,3,4.203000000000429,0,2018,10,34.0
10,74.71500000000015,6,0,1,18.0,0,0,0.0,0,3,1.7799999999997451,0,2018,10,35.0
10,75.06800000000021,7,0,1,17.0,0,0,0.0,0,1,2.4049999999997453,0,2018,10,36.0
10,74.96799999999985,8,0,1,16.0,0,0,0.0,0,0,0.0789999999997235,0,2018,10,37.0
10,73.98499999999967,9,0,1,15.0,0,0,0.0,0,0,-0.7300000000004729,0,2018,10,38.0
10,74.44800000000032,10,0,1,14.0,0,0,0.0,0,0,-0.6199999999998909,0,2018,10,39.0
10,85.78299999999945,11,0,1,13.0,0,1,0.0,0,0,10.8149999999996,0,2018,10,40.0
10,81.14499999999953,12,0,1,12.0,0,0,0.0,0,0,7.159999999999855,0,2018,10,41.0
10,78.09799999999996,13,0,1,11.0,0,0,0.0,0,0,3.649999999999636,0,2018,10,42.0
10,79.15399999999954,14,0,1,10.0,0,0,0.0,0,0,-6.628999999999905,0,2018,10,43.0
10,81.86499999999978,15,0,1,9.0,0,0,0.0,0,0,0.7200000000002547,0,2018,10,44.0
10,84.34499999999935,16,0,1,8.0,0,0,0.0,0,0,6.246999999999389,0,2018,10,45.0
10,87.22900000000027,17,0,1,7.0,0,0,0.0,0,0,8.075000000000728,0,2018,10,46.0
10,90.45399999999972,18,0,1,6.0,0,0,0.0,0,0,8.588999999999942,0,2018,10,47.0
10,93.84799999999996,19,0,1,5.0,0,0,0.0,0,0,9.503000000000611,0,2018,10,48.0
10,97.60599999999975,20,0,1,4.0,0,0,0.0,0,0,10.376999999999498,0,2018,10,49.0
11,102.88799999999992,21,0,1,3.0,0,0,0.0,0,-1,12.434000000000196,0,2018,10,50.0
11,110.07800000000044,22,0,1,2.0,0,0,0.0,0,-1,16.230000000000473,0,2018,10,51.0
11,115.82700000000024,23,0,1,1.0,0,0,0.0,0,-1,18.22100000000046,0,2018,10,52.0
8,10.594000000000053,4,1,0,51.0,0,0,0.0,0,0,0.0,0,2018,11,2.0
8,12.895999999999958,5,1,0,50.0,0,0,0.0,0,0,0.0,0,2018,11,3.0
8,14.44399999999996,6,1,0,49.0,1,0,0.0,0,0,0.0,0,2018,11,4.0
8,10.290000000000193,7,1,0,48.0,0,0,0.0,0,0,-0.3039999999998599,0,2018,11,5.0
8,10.101999999999862,8,1,0,47.0,0,0,0.0,0,0,-2.7940000000000964,0,2018,11,6.0
8,3.5860000000000127,9,1,0,46.0,0,0,0.0,0,0,-10.857999999999947,0,2018,11,7.0
7,7.390000000000327,10,1,0,45.0,0,0,0.0,0,1,-2.899999999999864,0,2018,11,8.0
7,10.231999999999973,11,1,0,44.0,0,0,0.0,0,1,0.1300000000001091,0,2018,11,9.0
7,12.567000000000007,12,1,0,43.0,0,0,0.0,0,1,8.980999999999995,0,2018,11,10.0
8,15.778999999999996,13,1,0,42.0,0,0,0.0,0,-1,8.388999999999669,0,2018,11,11.0
8,17.651000000000295,14,1,0,41.0,0,0,0.0,0,-1,7.419000000000324,0,2018,11,12.0
8,19.67599999999993,15,1,0,40.0,0,0,0.0,0,-1,7.108999999999924,0,2018,11,13.0
8,22.0329999999999,16,1,0,39.0,0,0,0.0,0,0,6.253999999999905,0,2018,11,14.0
8,24.05200000000013,17,1,0,38.0,0,0,0.0,0,0,6.40099999999984,0,2018,11,15.0
8,26.576000000000025,18,1,0,37.0,0,0,0.0,0,0,6.900000000000091,0,2018,11,16.0
8,28.643999999999775,19,1,0,36.0,0,0,0.0,0,0,6.610999999999876,0,2018,11,17.0
7,30.66400000000021,20,1,0,35.0,0,0,0.0,0,1,6.61200000000008,0,2018,11,18.0
7,32.3720000000003,21,1,0,34.0,0,0,0.0,0,1,5.7960000000002765,0,2018,11,19.0
7,35.09999999999991,22,1,0,33.0,0,0,0.0,0,1,6.456000000000131,0,2018,11,20.0
8,39.35699999999997,23,1,0,32.0,0,0,0.0,0,-1,8.692999999999756,0,2018,11,21.0
8,42.7829999999999,24,1,0,31.0,0,0,0.0,0,-1,10.410999999999603,0,2018,11,22.0
8,46.034000000000106,25,1,0,30.0,0,0,0.0,0,-1,10.934000000000196,0,2018,11,23.0
9,49.17100000000028,26,1,0,29.0,0,0,0.0,0,-1,9.814000000000306,0,2018,11,24.0
17,50.596,1,0,1,28.0,0,0,0.0,0,-9,7.813000000000102,0,2018,11,25.0
17,54.30799999999999,2,0,1,27.0,0,0,0.0,0,-9,8.273999999999887,0,2018,11,26.0
13,55.97199999999975,3,0,1,26.0,0,0,0.0,0,-4,6.800999999999476,0,2018,11,27.0
11,58.13700000000017,4,0,1,25.0,0,0,0.0,0,6,7.541000000000167,0,2018,11,28.0
10,59.89600000000064,5,0,1,24.0,0,0,0.0,0,7,5.588000000000648,0,2018,11,29.0
